Name,Address,Street Address,City,State,Zip Code,Programs,Link to Google Map,Requests,Phone to register
Young Neighborhood Library,"5107 Griggs Rd., 
Houston TX
77021",5107 Griggs Rd.,Houston,TX,77021,"Jun 6th Wed 1:30 PM to 3:00 PM Musical DJ - Live Coding,Jul 25th Wed 1:30 PM to 2:30 PM ASCII Art,Jul 18th Wed 1:30 PM to 3:00 PM Creative Coding with p5js","https://maps.google.com/maps?hl=en&q=Young+Neighborhood+Library+5107+Griggs+Rd.,++Houston+TX+77021",,(832) 393-2140
Houston Public Library - Central Library,"500 McKinney, 
Houston TX
77002",500 McKinney,Houston,TX,77002,"Jun 21st Wed 2:00 PM to 5:00 PM Intro to Python with Minecraft ,Jul 19th Thu 2:00 PM to 3:00 PM ASCII Art","https://maps.google.com/maps?hl=en&q=Houston+Public+Library+-+Central+Library+500+McKinney,++Houston+TX+77002",,(832) 393-1313
Heights Neighborhood Library,"1302 Heights Blvd, 
Houston TX
77008",1302 Heights Blvd,Houston,TX,77008,"Jun 28th Wed 2:00 PM to 3:30 PM ASCII Art,Jun 13th Wed 4:00 PM to 5:00 PM ASCII Art","https://maps.google.com/maps?hl=en&q=Heights+Neighborhood+Library+1302+Heights+Blvd,++Houston+TX+77008",,(832) 393-1810
Moody Neighborhood Library,"9525 Irvington Blvd, 
Houston TX
77076",9525 Irvington Blvd,Houston,TX,77076,"Jun 29th Thu 2:00 PM to 5:00 PM Intro to Python with Minecraft ,Jun 21st Thu 3:00 PM to 4:30 PM ASCII Art","https://maps.google.com/maps?hl=en&q=Moody+Neighborhood+Library+9525+Irvington+Blvd,++Houston+TX+77076",,(832) 393-1950
Kendall Neighborhood Library,"609 N Eldridge Pkwy, 
Houston TX
77079",609 N Eldridge Pkwy,Houston,TX,77079,Jun 15th Thu 3:00 PM to 4:30 PM ASCII Art,"https://maps.google.com/maps?hl=en&q=Kendall+Neighborhood+Library+609+N+Eldridge+Pkwy,++Houston+TX+77079",,(832) 393-1880
Lakewood Neighborhood Library,"8815 Feland St, 
Houston TX
77028",8815 Feland St,Houston,TX,77028,,"https://maps.google.com/maps?hl=en&q=Lakewood+Neighborhood+Library+8815+Feland+St,++Houston+TX+77028",,(832) 393-2530
The Iron Yard Houston,"4203 Montrose Blvd #100, 
Houston TX
77006",4203 Montrose Blvd #100,Houston,TX,77006,"Mar 18th Sat 1:00 PM to 5:00 PM Intro to Commandline,Mar 25th Sat 1:00 PM to 5:00 PM Intro to Git/Github,Apr 15th Sat 12:00 PM to 5:00 PM Intro to R ,Apr 22nd Sat 12:00 PM to 5:00 PM Intro to Web Scraping with R","https://maps.google.com/maps?hl=en&q=The+Iron+Yard+Houston+4203+Montrose+Blvd+#100,++Houston+TX+77006",,
Houston Community College - West Loop Center,"5601 West Loop S, 
Houston TX
77081",5601 West Loop S,Houston,TX,77081,Oct 7th Sat 1:30 PM to 4:00 PM Intro to Python with Minecraft ,"https://maps.google.com/maps?hl=en&q=Houston+Community+College+-+West+Loop+Center+5601+West+Loop+S,++Houston+TX+77081",,
Houston Mini Maker Faire @ George R. Brown Convention Center,"1001 Avenida De Las Americas, 
Houston TX
77010",1001 Avenida De Las Americas,Houston,TX,77010,"Oct 21st Sat 11:30 AM to 1:00 PM Squishy Circuits,Oct 22nd Sun 12:30 PM to 2:00 PM Squishy Circuits","https://maps.google.com/maps?hl=en&q=Houston+Mini+Maker+Faire+@+George+R.+Brown+Convention+Center+1001+Avenida+De+Las+Americas,++Houston+TX+77010",,
CS Girls @ University of Houston,"4800 Calhoun Rd, 
Houston TX
77004",4800 Calhoun Rd,Houston,TX,77004,"Oct 27th Fri 5:00 PM to 8:00 PM Intro to Physical Computing with Raspberry Pi,Apr 13th Fri 5:00 PM to 7:00 PM Intro to Git/Github","https://maps.google.com/maps?hl=en&q=CS+Girls+@+University+of+Houston+4800+Calhoun+Rd,++Houston+TX+77004",,
Leonel Castillo Baker Ripley Community Center,"2101 South St, 
Houston TX
77009",2101 South St,Houston,TX,77009,"Oct 23rd Mon 6:00 PM to 7:30 PM Creative Coding with p5js,Oct 25th Wed 6:00 PM to 7:30 PM Creative Coding with p5js,Nov 1st Wed 6:00 PM to 7:30 PM Creative Coding with p5js,Nov 2nd Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Nov 7th Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Nov 9th Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Nov 14th Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Nov 16th Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Nov 21st Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Nov 30th Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Dec 5th Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Dec 7th Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Nov 28th Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Dec 12th Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Dec 14th Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Nov 7th Tue 5:00 PM to 6:00 PM Code Club,Nov 9th Thu 5:00 PM to 6:00 PM Code Club,Nov 14th Tue 5:00 PM to 6:00 PM Code Club,Nov 16th Thu 5:00 PM to 6:00 PM Code Club,Nov 21st Tue 5:00 PM to 6:00 PM Code Club,Nov 28th Tue 5:00 PM to 6:00 PM Code Club,Nov 30th Thu 5:00 PM to 6:00 PM Code Club,Dec 5th Tue 5:00 PM to 6:00 PM Code Club,Dec 7th Thu 5:00 PM to 6:00 PM Code Club,Dec 12th Tue 5:00 PM to 6:00 PM Code Club,Dec 14th Thu 5:00 PM to 6:00 PM Code Club,Jan 22nd Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Jan 24th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Jan 29th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Jan 31st Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Feb 5th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Feb 7th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Feb 12th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Feb 14th Wed 6:00 PM to 7:00 PM Creative Coding with Scratch,Feb 19th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Feb 21st Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Feb 26th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Feb 28th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Mar 5th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Mar 7th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Mar 26th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Mar 28th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Apr 2nd Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Apr 4th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Apr 9th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Apr 11th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Apr 16th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Apr 18th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Apr 23rd Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Apr 30th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,May 2nd Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Apr 25th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Jul 2nd Mon 4:30 PM to 6:00 PM CS First - Story Telling,Jul 9th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Jul 11th Wed 4:30 PM to 6:00 PM CS First - Story Telling,Jul 16th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Jul 18th Wed 4:30 PM to 6:00 PM CS First - Story Telling,Jul 23rd Mon 4:30 PM to 6:00 PM CS First - Story Telling,Jul 25th Wed 4:30 PM to 6:00 PM CS First - Story Telling,Jul 30th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Aug 1st Wed 4:30 PM to 6:00 PM CS First - Story Telling,Aug 6th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Oct 8th Mon 5:00 PM to 7:00 PM CS First - Story Telling,Oct 10th Wed 5:00 PM to 7:00 PM CS First - Friends,Oct 15th Mon 5:00 PM to 7:00 PM CS First - Story Telling,Oct 17th Wed 5:00 PM to 7:00 PM CS First - Friends,Oct 22nd Mon 5:00 PM to 7:00 PM CS First - Story Telling,Oct 24th Wed 5:00 PM to 7:00 PM CS First - Friends,Oct 29th Mon 5:00 PM to 7:00 PM CS First - Story Telling,Nov 5th Mon 5:00 PM to 7:00 PM CS First - Story Telling,Nov 7th Wed 5:00 PM to 7:00 PM CS First - Friends,Nov 12th Mon 5:00 PM to 7:00 PM CS First - Story Telling,Nov 14th Wed 5:00 PM to 7:00 PM CS First - Friends,Oct 31st Wed 5:00 PM to 7:00 PM CS First - Friends","https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",,
Freed-Montrose Library,"4100 Montrose Blvd, 
Houston TX
77006",4100 Montrose Blvd,Houston,TX,77006,Jun 14th Thu 3:30 PM to 4:30 PM ASCII Art,"https://maps.google.com/maps?hl=en&q=Freed-Montrose+Library+4100+Montrose+Blvd,++Houston+TX+77006",,(832) 393-1800
Stimley-Blue Ridge Library,"7007 West Fuqua, 
Houston TX
77489",7007 West Fuqua,Houston,TX,77489,Jun 20th Wed 1:30 PM to 3:00 PM Musical DJ - Live Coding,"https://maps.google.com/maps?hl=en&q=Stimley-Blue+Ridge+Library+7007+West+Fuqua,++Houston+TX+77489",,(832) 393-2370
Looscan Library,"2510 Willowick Houston, 
Houston TX
77027",2510 Willowick Houston,Houston,TX,77027,Jun 19th Tue 2:00 PM to 3:00 PM ASCII Art,"https://maps.google.com/maps?hl=en&q=Looscan+Library+2510+Willowick+Houston,++Houston+TX+77027",,(832) 393-1900
Henington-Alief Regional Library,"7979 S Kirkwood Rd, 
Houston TX
77072",7979 S Kirkwood Rd,Houston,TX,77072,Jun 28th Thu 1:30 PM to 2:30 PM ASCII Art,"https://maps.google.com/maps?hl=en&q=Henington-Alief+Regional+Library+7979+S+Kirkwood+Rd,++Houston+TX+77072",,(832) 393-1820
Smith Neighborhood Library,"3624 Scott St, 
Houston TX
77004",3624 Scott St,Houston,TX,77004,Jun 7th Thu 3:00 PM to 4:30 PM Hack a Webpage,"https://maps.google.com/maps?hl=en&q=Smith+Neighborhood+Library+3624+Scott+St,++Houston+TX+77004",,(832) 393-2050
Station Houston,"1301 Fannin Street Suite 2440, 
Houston TX
77002",1301 Fannin Street Suite 2440,Houston,TX,77002,"Mar 3rd Sat 9:00 AM to 1:00 PM Raspberry Jam,Mar 31st Sat 10:00 AM to 12:00 PM Intro to Web Scraping with R,Mar 31st Sat 12:00 PM to 2:00 PM Maps with R ,Apr 7th Sat 10:00 AM to 2:00 PM Intro to Git/Github,Mar 24th Sat 9:00 AM to 1:00 PM Intro to R ","https://maps.google.com/maps?hl=en&q=Station+Houston+1301+Fannin+Street+Suite+2440,++Houston+TX+77002",,
Scenic Woods Regional Library,"10677 Homestead Rd, 
Houston TX
77016",10677 Homestead Rd,Houston,TX,77016,"Jul 5th Thu 3:00 PM to 4:30 PM Creative Coding with p5js,May 19th Sat 11:30 AM to 1:30 PM Intro to Physical Computing with MicroBit","https://maps.google.com/maps?hl=en&q=Scenic+Woods+Regional+Library+10677+Homestead+Rd,++Houston+TX+77016",,(832) 393-2030
KIPP Academy,"10711 KIPP Way, 
Houston TX
77099",10711 KIPP Way,Houston,TX,77099,"Mar 20th Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Mar 22nd Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Mar 27th Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Mar 29th Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Apr 3rd Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Apr 5th Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Apr 10th Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Apr 12th Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Apr 17th Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Apr 19th Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Apr 24th Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Apr 26th Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,May 1st Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,May 3rd Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,May 8th Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,May 10th Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,May 15th Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,May 17th Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,May 22nd Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,May 24th Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality","https://maps.google.com/maps?hl=en&q=KIPP+Academy+10711+KIPP+Way,++Houston+TX+77099",,
Montgomery County Central Library,"104 I-45 North, 
Houston TX
77031",104 I-45 North,Houston,TX,77031,Jun 9th Sat 9:00 AM to 2:00 PM Raspberry Jam,"https://maps.google.com/maps?hl=en&q=Montgomery+County+Central+Library+104+I-45+North,++Houston+TX+77031",,
The Cannon,"1336 Brittmoore Rd, 
Houston TX
77043",1336 Brittmoore Rd,Houston,TX,77043,Apr 21st Sat 9:00 AM to 12:00 PM Intro to Database Design with Airtable,"https://maps.google.com/maps?hl=en&q=The+Cannon+1336+Brittmoore+Rd,++Houston+TX+77043",,
Finnigan Community Center,"4900 Providence, 
Houston TX
77020",4900 Providence,Houston,TX,77020,Jul 7th Sat 10:00 AM to 2:00 PM Circuit Beats,"https://maps.google.com/maps?hl=en&q=Finnigan+Community+Center+4900+Providence,++Houston+TX+77020",,
Milby High School,"1601 Broadway St, 
Houston Tx
77012",1601 Broadway St,Houston,Tx,77012,Dec 8th Fri 9:40 AM to 3:30 PM Hour of Code,"https://maps.google.com/maps?hl=en&q=Milby+High+School+1601+Broadway+St,++Houston+Tx+77012",,
Market Square Park,"301 Milam St, 
Houston TX
77002",301 Milam St,Houston,TX,77002,May 19th Sat 3:00 PM to 7:00 PM Paper Circuits,"https://maps.google.com/maps?hl=en&q=Market+Square+Park+301+Milam+St,++Houston+TX+77002",,
AIG Office,"2929 Allen Pkwy #1300, 
Houston TX
77019",2929 Allen Pkwy #1300,Houston,TX,77019,Jun 26th Tue 8:00 AM to 1:00 PM Raspberry Jam,"https://maps.google.com/maps?hl=en&q=AIG+Office+2929+Allen+Pkwy+#1300,++Houston+TX+77019",,
FabLab Houston,"3308 Aldine Mail Rd Suite C, 
Houston TX
77039",3308 Aldine Mail Rd Suite C,Houston,TX,77039,"Jul 23rd Mon 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Jul 24th Tue 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Jul 25th Wed 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Jul 26th Thu 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Jul 27th Fri 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Jul 30th Mon 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Jul 31st Tue 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Aug 1st Wed 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Aug 2nd Thu 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Aug 3rd Fri 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Aug 6th Mon 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Aug 7th Tue 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Aug 8th Wed 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Aug 9th Thu 10:00 AM to 2:00 PM Invent to Learn at FabLab Houston,Sep 18th Tue 10:30 AM to 12:00 PM Intro to Python with Minecraft ,Sep 6th Thu 4:30 PM to 6:00 PM Beyond the Banana MakeyMakey PD","https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039",,
Lakewood Neighborhood Library at Service Center,"9720 Spaulding St., 
Houston TX
77016",9720 Spaulding St.,Houston,TX,77016,Jul 5th Thu 11:00 AM to 12:30 PM Musical DJ - Live Coding,"https://maps.google.com/maps?hl=en&q=Lakewood+Neighborhood+Library+at+Service+Center+9720+Spaulding+St.,++Houston+TX+77016",,(832) 393-2530
Houston Community College - Stafford Campus,"13622 Stafford Rd, 
Houston TX
77477",13622 Stafford Rd,Houston,TX,77477,Sep 22nd Sat 10:00 AM to 4:00 PM Mentorship at Inventathon,"https://maps.google.com/maps?hl=en&q=Houston+Community+College+-+Stafford+Campus+13622+Stafford+Rd,++Houston+TX+77477",,
Houston Community College - Southeast Campus,"6815 Rustic St, 
Houston TX
77087",6815 Rustic St,Houston,TX,77087,Sep 15th Sat 9:00 AM to 4:00 PM Robot Expo with Black Girls Code,"https://maps.google.com/maps?hl=en&q=Houston+Community+College+-+Southeast+Campus+6815+Rustic+St,++Houston+TX+77087",,
George R Brown Convention Center,"1001 Avenida De Las Americas, 
Houston TX
77010",1001 Avenida De Las Americas,Houston,TX,77010,Oct 13th Sat 10:00 AM to 3:00 PM Youth Hackathon,"https://maps.google.com/maps?hl=en&q=George+R+Brown+Convention+Center+1001+Avenida+De+Las+Americas,++Houston+TX+77010",,
Gallegos Elementary School,"7415 Harrisburg Blvd, 
Houston TX
77011",7415 Harrisburg Blvd,Houston,TX,77011,"Oct 8th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Oct 10th Wed 4:30 PM to 6:00 PM CS First - Story Telling,Oct 15th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Oct 17th Wed 4:30 PM to 6:00 PM CS First - Story Telling,Oct 22nd Mon 4:30 PM to 6:00 PM CS First - Story Telling,Oct 24th Wed 4:30 PM to 6:00 PM CS First - Story Telling,Oct 29th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Oct 31st Wed 4:30 PM to 6:00 PM CS First - Story Telling,Nov 5th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Nov 7th Wed 4:30 PM to 6:00 PM CS First - Story Telling,Nov 12th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Nov 14th Wed 4:30 PM to 6:00 PM CS First - Story Telling,Nov 26th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Nov 28th Wed 4:30 PM to 6:00 PM CS First - Story Telling,Dec 3rd Mon 4:30 PM to 6:00 PM CS First - Story Telling,Dec 5th Wed 4:30 PM to 6:00 PM CS First - Story Telling,Dec 10th Mon 4:30 PM to 6:00 PM CS First - Story Telling,Dec 12th Wed 4:30 PM to 6:00 PM CS First - Story Telling","https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011",,
Houston Community College - West Houston Institute,"2811 Hayes Rd, 
Houston TX
77082",2811 Hayes Rd,Houston,TX,77082,"Oct 19th Fri 9:00 AM to 2:00 PM Invent to Learn at IDEAStudio,Oct 26th Fri 9:00 AM to 2:00 PM Invent to Learn at IDEAStudio,Nov 2nd Fri 9:00 AM to 2:00 PM Invent to Learn at IDEAStudio,Nov 9th Fri 9:00 AM to 2:00 PM Invent to Learn at IDEAStudio,Nov 16th Fri 9:00 AM to 2:00 PM Invent to Learn at IDEAStudio,Dec 7th Fri 9:00 AM to 2:00 PM Invent to Learn at IDEAStudio","https://maps.google.com/maps?hl=en&q=Houston+Community+College+-+West+Houston+Institute+2811+Hayes+Rd,++Houston+TX+77082",,